danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.466,0.833,7,-4.215,1,0.304,0.026600000000000002,0.0,0.0327,0.661,88.785,audio_features,59WN2psjkt1tyaxjspN8fp,spotify:track:59WN2psjkt1tyaxjspN8fp,https://api.spotify.com/v1/tracks/59WN2psjkt1tyaxjspN8fp,https://api.spotify.com/v1/audio-analysis/59WN2psjkt1tyaxjspN8fp,313573,4
0.20800000000000002,0.8320000000000001,9,-11.009,1,0.062400000000000004,0.0035600000000000002,0.053700000000000005,0.199,0.648,156.938,audio_features,2PHYxHUFjHUGmdj8MbVINJ,spotify:track:2PHYxHUFjHUGmdj8MbVINJ,https://api.spotify.com/v1/tracks/2PHYxHUFjHUGmdj8MbVINJ,https://api.spotify.com/v1/audio-analysis/2PHYxHUFjHUGmdj8MbVINJ,429973,4
0.321,0.544,2,-7.179,1,0.0364,0.293,1.1100000000000002e-05,0.11,0.28300000000000003,127.284,audio_features,7ycz6sgZWp4wvF53BZVTjE,spotify:track:7ycz6sgZWp4wvF53BZVTjE,https://api.spotify.com/v1/tracks/7ycz6sgZWp4wvF53BZVTjE,https://api.spotify.com/v1/audio-analysis/7ycz6sgZWp4wvF53BZVTjE,398267,3
0.327,0.932,8,-5.16,0,0.0507,0.0018000000000000002,9.11e-06,0.09580000000000001,0.121,153.92,audio_features,0PFc1xilGfV9CWRrIUEgRN,spotify:track:0PFc1xilGfV9CWRrIUEgRN,https://api.spotify.com/v1/tracks/0PFc1xilGfV9CWRrIUEgRN,https://api.spotify.com/v1/audio-analysis/0PFc1xilGfV9CWRrIUEgRN,343933,4
0.405,0.971,2,-4.422,0,0.0461,0.0008529999999999999,5.26e-06,0.332,0.464,96.03,audio_features,1yId2tab38LIpWhX579thz,spotify:track:1yId2tab38LIpWhX579thz,https://api.spotify.com/v1/tracks/1yId2tab38LIpWhX579thz,https://api.spotify.com/v1/audio-analysis/1yId2tab38LIpWhX579thz,272478,4
0.5720000000000001,0.9480000000000001,5,-6.93,0,0.114,0.0017000000000000001,0.0013900000000000002,0.0596,0.371,99.991,audio_features,68OhwbYgltOE59j6Nz8wBt,spotify:track:68OhwbYgltOE59j6Nz8wBt,https://api.spotify.com/v1/tracks/68OhwbYgltOE59j6Nz8wBt,https://api.spotify.com/v1/audio-analysis/68OhwbYgltOE59j6Nz8wBt,284067,4
0.514,0.9500000000000001,7,-4.657,1,0.07250000000000001,1.0900000000000002e-05,0.0135,0.19,0.149,130.027,audio_features,6hz6lrQtLcxOOjflnYjF9o,spotify:track:6hz6lrQtLcxOOjflnYjF9o,https://api.spotify.com/v1/tracks/6hz6lrQtLcxOOjflnYjF9o,https://api.spotify.com/v1/audio-analysis/6hz6lrQtLcxOOjflnYjF9o,467827,4
0.268,0.646,0,-7.926,0,0.057100000000000005,0.027,2.84e-06,0.986,0.154,133.625,audio_features,0wy70YBb5QIqBNUOQeD3ae,spotify:track:0wy70YBb5QIqBNUOQeD3ae,https://api.spotify.com/v1/tracks/0wy70YBb5QIqBNUOQeD3ae,https://api.spotify.com/v1/audio-analysis/0wy70YBb5QIqBNUOQeD3ae,351387,4
0.5670000000000001,0.714,9,-8.512,0,0.0302,0.0012000000000000001,0.417,0.186,0.191,107.441,audio_features,55mJleti2WfWEFNFcBduhc,spotify:track:55mJleti2WfWEFNFcBduhc,https://api.spotify.com/v1/tracks/55mJleti2WfWEFNFcBduhc,https://api.spotify.com/v1/audio-analysis/55mJleti2WfWEFNFcBduhc,403533,3
0.46900000000000003,0.79,7,-6.889,1,0.0391,0.000148,0.372,0.28200000000000003,0.466,107.45,audio_features,1lATXTBJDHwawvT1UfxWu3,spotify:track:1lATXTBJDHwawvT1UfxWu3,https://api.spotify.com/v1/tracks/1lATXTBJDHwawvT1UfxWu3,https://api.spotify.com/v1/audio-analysis/1lATXTBJDHwawvT1UfxWu3,381947,4
0.546,0.633,6,-6.287,0,0.0309,0.0366,0.000127,0.47800000000000004,0.426,170.148,audio_features,0J1CIpL8IuUf0OyijwkMFj,spotify:track:0J1CIpL8IuUf0OyijwkMFj,https://api.spotify.com/v1/tracks/0J1CIpL8IuUf0OyijwkMFj,https://api.spotify.com/v1/audio-analysis/0J1CIpL8IuUf0OyijwkMFj,494573,4
0.406,0.68,2,-12.102,1,0.08080000000000001,0.178,0.605,0.401,0.417,111.374,audio_features,4nSikasiVdtF5SPyDUlDLg,spotify:track:4nSikasiVdtF5SPyDUlDLg,https://api.spotify.com/v1/tracks/4nSikasiVdtF5SPyDUlDLg,https://api.spotify.com/v1/audio-analysis/4nSikasiVdtF5SPyDUlDLg,64309,4
